AISC_Manual_Label,W,A,Ix (in^4),Sx
W6X20,20.00,5.87,41.40,13.40
W6X15,15.00,4.43,29.10,9.72
W6X16,16.00,4.74,32.10,10.20
W6X12,12.00,3.55,22.10,7.31
W6X9,9.00,2.68,16.40,5.56
W6X8.5,8.50,2.52,14.90,5.10
W5X19,19.00,5.56,26.30,10.20
W5X16,16.00,4.71,21.40,8.55
W4X13,13.00,3.83,11.30,5.46
M12.5X12.4,12.40,3.63,89.30,14.20
M12.5X11.6,11.60,3.40,80.30,12.80
M12X11.8,11.80,3.47,72.20,12.00
M12X10.8,10.80,3.18,66.70,11.10
M12X10,10.00,2.95,61.70,10.30
M10X9,9.00,2.65,39.00,7.79
M10X8,8.00,2.37,34.60,6.95
M10X7.5,7.50,2.22,33.00,6.60
M8X6.5,6.50,1.92,18.50,4.63
M8X6.2,6.20,1.82,17.60,4.39
M6X4.4,4.40,1.29,7.23,2.41
M6X3.7,3.70,1.09,5.96,2.01
M5X18.9,18.90,5.56,24.20,9.67
M4X6,6.00,1.75,4.72,2.48
M4X4.08,4.08,1.27,3.53,1.77
M4X3.45,3.45,1.01,2.86,1.43
M4X3.2,3.20,1.01,2.86,1.43
M3X2.9,2.90,0.91,1.50,1.00
S24X121,121.00,35.50,3160.00,258.00
S24X106,106.00,31.10,2940.00,240.00
S24X100,100.00,29.30,2380.00,199.00
S24X90,90.00,26.50,2250.00,187.00
S24X80,80.00,23.50,2100.00,175.00
S20X96,96.00,28.20,1670.00,165.00
S20X86,86.00,25.30,1570.00,155.00
S20X75,75.00,22.00,1280.00,128.00
S20X66,66.00,19.40,1190.00,119.00
S18X70,70.00,20.50,923.00,103.00
S18X54.7,54.70,16.00,801.00,89.00
S15X50,50.00,14.70,485.00,64.70
S15X42.9,42.90,12.60,446.00,59.40
S12X50,50.00,14.70,303.00,50.60
S12X40.8,40.80,11.90,270.00,45.10
S12X35,35.00,10.20,228.00,38.10
S12X31.8,31.80,9.31,217.00,36.20
S10X35,35.00,10.30,147.00,29.40
S10X25.4,25.40,7.45,123.00,24.60
S8X23,23.00,6.76,64.70,16.20
S8X18.4,18.40,5.40,57.50,14.40
S6X17.25,17.25,5.05,26.20,8.74
S6X12.5,12.50,3.66,22.00,7.34
S5X10,10.00,2.93,12.30,4.90
