AISC_Manual_Label,W,A,Ix (in^4),Sx
L203X102X14.3,32.40,4190.00,-718100000000.00,-1180900000000.00
L203X102X12.7,29.00,3740.00,-719800000000.00,-1183700000000.00
L203X102X11.1,25.60,3300.00,-721500000000.00,-1186500000000.00
L178X102X19,38.80,4990.00,-723200000000.00,-1189300000000.00
L178X102X15.9,32.70,4190.00,-724900000000.00,-1192100000000.00
L178X102X12.7,26.50,3390.00,-726600000000.00,-1194900000000.00
L178X102X11.1,23.40,2990.00,-728300000000.00,-1197700000000.00
L178X102X9.5,20.20,2580.00,-730000000000.00,-1200500000000.00
L152X152X25.4,55.70,7100.00,-731700000000.00,-1203300000000.00
L152X152X22.2,49.30,6290.00,-733400000000.00,-1206100000000.00
L152X152X19,42.70,5460.00,-735100000000.00,-1208900000000.00
L152X152X15.9,36.00,4600.00,-736800000000.00,-1211700000000.00
L152X152X14.3,32.60,4160.00,-738500000000.00,-1214500000000.00
L152X152X12.7,29.20,3720.00,-740200000000.00,-1217300000000.00
L152X152X11.1,25.60,3280.00,-741900000000.00,-1220100000000.00
L152X152X9.5,22.20,2830.00,-743600000000.00,-1222900000000.00
L152X152X7.9,18.50,2370.00,-745300000000.00,-1225700000000.00
L152X102X22.2,40.30,5160.00,-747000000000.00,-1228500000000.00
L152X102X19,35.00,4480.00,-748700000000.00,-1231300000000.00
L152X102X15.9,29.60,3780.00,-750400000000.00,-1234100000000.00
L152X102X14.3,26.90,3430.00,-752100000000.00,-1236900000000.00
L152X102X12.7,24.00,3060.00,-753800000000.00,-1239700000000.00
L152X102X11.1,21.20,2700.00,-755500000000.00,-1242500000000.00
L152X102X9.5,18.20,2330.00,-757200000000.00,-1245300000000.00
L152X102X7.9,15.30,1950.00,-758900000000.00,-1248100000000.00
L152X89X12.7,22.70,2900.00,-760600000000.00,-1250900000000.00
L152X89X9.5,17.30,2220.00,-762300000000.00,-1253700000000.00
L152X89X7.9,14.50,1860.00,-764000000000.00,-1256500000000.00
L127X127X22.2,40.50,5160.00,-765700000000.00,-1259300000000.00
L127X127X19,35.10,4500.00,-767400000000.00,-1262100000000.00
L127X127X15.9,29.80,3810.00,-769100000000.00,-1264900000000.00
L127X127X12.7,24.10,3090.00,-770800000000.00,-1267700000000.00
L127X127X11.1,21.30,2720.00,-772500000000.00,-1270500000000.00
L127X127X9.5,18.30,2350.00,-774200000000.00,-1273300000000.00
L127X127X7.9,15.30,1980.00,-775900000000.00,-1276100000000.00
L127X89X19,29.30,3770.00,-777600000000.00,-1278900000000.00
L127X89X15.9,24.90,3180.00,-779300000000.00,-1281700000000.00
L127X89X12.7,20.20,2580.00,-781000000000.00,-1284500000000.00
L127X89X9.5,15.40,1970.00,-782700000000.00,-1287300000000.00
L127X89X7.9,12.90,1650.00,-784400000000.00,-1290100000000.00
L127X89X6.4,10.40,1340.00,-786100000000.00,-1292900000000.00
L127X76X12.7,19.00,2420.00,-787800000000.00,-1295700000000.00
L127X76X11.1,16.70,2140.00,-789500000000.00,-1298500000000.00
L127X76X9.5,14.50,1850.00,-791200000000.00,-1301300000000.00
L127X76X7.9,12.10,1550.00,-792900000000.00,-1304100000000.00
L127X76X6.4,9.80,1250.00,-794600000000.00,-1306900000000.00
L102X102X19,27.50,3510.00,-796300000000.00,-1309700000000.00
L102X102X15.9,23.40,2970.00,-798000000000.00,-1312500000000.00
L102X102X12.7,19.00,2420.00,-799700000000.00,-1315300000000.00
L102X102X11.1,16.80,2130.00,-801400000000.00,-1318100000000.00
L102X102X9.5,14.60,1850.00,-803100000000.00,-1320900000000.00
L102X102X7.9,12.20,1550.00,-804800000000.00,-1323700000000.00
L102X102X6.4,9.80,1250.00,-806500000000.00,-1326500000000.00
L102X89X12.7,17.60,2260.00,-808200000000.00,-1329300000000.00
L102X89X9.5,13.50,1730.00,-809900000000.00,-1332100000000.00
L102X89X7.9,11.40,1450.00,-811600000000.00,-1334900000000.00
L102X89X6.4,9.20,1170.00,-813300000000.00,-1337700000000.00
L102X76X15.9,20.20,2570.00,-815000000000.00,-1340500000000.00
L102X76X12.7,16.40,2100.00,-816700000000.00,-1343300000000.00
L102X76X9.5,12.60,1610.00,-818400000000.00,-1346100000000.00
L102X76X7.9,10.70,1350.00,-820100000000.00,-1348900000000.00
L102X76X6.4,8.60,1090.00,-821800000000.00,-1351700000000.00
L89X89X12.7,16.50,2100.00,-823500000000.00,-1354500000000.00
L89X89X11.1,14.60,1860.00,-825200000000.00,-1357300000000.00
L89X89X9.5,12.60,1610.00,-826900000000.00,-1360100000000.00
L89X89X7.9,10.70,1350.00,-828600000000.00,-1362900000000.00
L89X89X6.4,8.60,1100.00,-830300000000.00,-1365700000000.00
L89X76X12.7,15.10,1950.00,-832000000000.00,-1368500000000.00
L89X76X11.1,13.50,1720.00,-833700000000.00,-1371300000000.00
L89X76X9.5,11.70,1500.00,-835400000000.00,-1374100000000.00
L89X76X7.9,9.80,1260.00,-837100000000.00,-1376900000000.00
L89X76X6.4,8.00,1020.00,-838800000000.00,-1379700000000.00
L89X64X12.7,13.90,1790.00,-840500000000.00,-1382500000000.00
L89X64X9.5,10.70,1370.00,-842200000000.00,-1385300000000.00
L89X64X7.9,9.00,1150.00,-843900000000.00,-1388100000000.00
L89X64X6.4,7.30,935.00,-845600000000.00,-1390900000000.00
L76X76X12.7,14.00,1780.00,-847300000000.00,-1393700000000.00
L76X76X11.1,12.40,1570.00,-849000000000.00,-1396500000000.00
L76X76X9.5,10.70,1360.00,-850700000000.00,-1399300000000.00
L76X76X7.9,9.10,1150.00,-852400000000.00,-1402100000000.00
L76X76X6.4,7.30,929.00,-854100000000.00,-1404900000000.00
L76X76X4.8,5.50,703.00,-855800000000.00,-1407700000000.00
L76X64X12.7,12.60,1610.00,-857500000000.00,-1410500000000.00
L76X64X11.1,11.30,1430.00,-859200000000.00,-1413300000000.00
L76X64X9.5,9.80,1250.00,-860900000000.00,-1416100000000.00
L76X64X7.9,8.30,1050.00,-862600000000.00,-1418900000000.00
L76X64X6.4,6.70,852.00,-864300000000.00,-1421700000000.00
L76X64X4.8,5.10,645.00,-866000000000.00,-1424500000000.00
L76X51X12.7,11.50,1460.00,-867700000000.00,-1427300000000.00
L76X51X9.5,8.80,1130.00,-869400000000.00,-1430100000000.00
L76X51X7.9,7.40,955.00,-871100000000.00,-1432900000000.00
L76X51X6.4,6.10,774.00,-872800000000.00,-1435700000000.00
L76X51X4.8,4.60,592.00,-874500000000.00,-1438500000000.00
L64X64X12.7,11.40,1460.00,-876200000000.00,-1441300000000.00
L64X64X9.5,8.70,1120.00,-877900000000.00,-1444100000000.00
L64X64X7.9,7.40,942.00,-879600000000.00,-1446900000000.00
L64X64X6.4,6.10,768.00,-881300000000.00,-1449700000000.00
L64X64X4.8,4.60,581.00,-883000000000.00,-1452500000000.00
L64X51X9.5,7.90,1000.00,-884700000000.00,-1455300000000.00
L64X51X7.9,6.70,852.00,-886400000000.00,-1458100000000.00
L64X51X6.4,5.40,690.00,-888100000000.00,-1460900000000.00
L64X51X4.8,4.20,528.00,-889800000000.00,-1463700000000.00
L64X38X6.4,4.80,611.00,-891500000000.00,-1466500000000.00
L64X38X4.8,3.60,467.00,-893200000000.00,-1469300000000.00
L51X51X9.5,7.00,884.00,-894900000000.00,-1472100000000.00
L51X51X7.9,5.80,748.00,-896600000000.00,-1474900000000.00
L51X51X6.4,4.70,609.00,-898300000000.00,-1477700000000.00
L51X51X4.8,3.60,466.00,-900000000000.00,-1480500000000.00
L51X51X3.2,2.40,317.00,-901700000000.00,-1483300000000.00
WT550X249.5,250.00,31700.00,-903400000000.00,-1486100000000.00
WT550X216.5,216.00,27500.00,-905100000000.00,-1488900000000.00
WT550X195,195.00,24800.00,-906800000000.00,-1491700000000.00
WT550X171.5,172.00,21900.00,-908500000000.00,-1494500000000.00
WT500X441.5,442.00,56300.00,-910200000000.00,-1497300000000.00
WT500X374,374.00,47700.00,-911900000000.00,-1500100000000.00
WT500X321,321.00,40800.00,-913600000000.00,-1502900000000.00
WT500X295.5,296.00,37600.00,-915300000000.00,-1505700000000.00
WT500X277,277.00,35300.00,-917000000000.00,-1508500000000.00
WT500X269.5,270.00,34300.00,-918700000000.00,-1511300000000.00
WT500X241.5,242.00,30800.00,-920400000000.00,-1514100000000.00
WT500X221.5,222.00,28100.00,-922100000000.00,-1516900000000.00
WT500X206,206.00,26300.00,-923800000000.00,-1519700000000.00
WT500X185.5,186.00,23700.00,-925500000000.00,-1522500000000.00
WT500X160.5,160.00,20500.00,-927200000000.00,-1525300000000.00
WT500X148,148.00,18800.00,-928900000000.00,-1528100000000.00
WT500X292,292.00,37300.00,-930600000000.00,-1530900000000.00
WT500X247,247.00,31500.00,-932300000000.00,-1533700000000.00
WT500X243,243.00,30900.00,-934000000000.00,-1536500000000.00
WT500X219,219.00,27800.00,-935700000000.00,-1539300000000.00
WT500X207.5,208.00,26500.00,-937400000000.00,-1542100000000.00
WT500X196.5,196.00,25000.00,-939100000000.00,-1544900000000.00
WT500X175,175.00,22300.00,-940800000000.00,-1547700000000.00
WT500X157,157.00,20100.00,-942500000000.00,-1550500000000.00
WT500X136,136.00,17200.00,-944200000000.00,-1553300000000.00
WT500X124.5,125.00,15800.00,-945900000000.00,-1556100000000.00
WT500X111,111.00,14100.00,-947600000000.00,-1558900000000.00
WT460X485,485.00,62100.00,-949300000000.00,-1561700000000.00
WT460X393.5,394.00,50200.00,-951000000000.00,-1564500000000.00
WT460X362.5,362.00,46300.00,-952700000000.00,-1567300000000.00
WT460X328,328.00,41900.00,-954400000000.00,-1570100000000.00
WT460X294,294.00,37500.00,-956100000000.00,-1572900000000.00
WT460X268.5,268.00,34200.00,-957800000000.00,-1575700000000.00
WT460X245.5,246.00,31200.00,-959500000000.00,-1578500000000.00
WT460X224.5,224.00,28700.00,-961200000000.00,-1581300000000.00
WT460X210,210.00,26800.00,-962900000000.00,-1584100000000.00
WT460X195,195.00,24800.00,-964600000000.00,-1586900000000.00
WT460X184,184.00,23400.00,-966300000000.00,-1589700000000.00
WT460X171.9,172.00,22000.00,-968000000000.00,-1592500000000.00
WT460X190.5,190.00,24300.00,-969700000000.00,-1595300000000.00
WT460X172.5,172.00,21900.00,-971400000000.00,-1598100000000.00
WT460X156.5,156.00,19900.00,-973100000000.00,-1600900000000.00
WT460X144.5,144.00,18400.00,-974800000000.00,-1603700000000.00
WT460X135.5,136.00,17300.00,-976500000000.00,-1606500000000.00
WT460X126.5,126.00,16100.00,-978200000000.00,-1609300000000.00
WT460X119,119.00,15200.00,-979900000000.00,-1612100000000.00
WT460X111.5,112.00,14300.00,-981600000000.00,-1614900000000.00
WT460X100.5,100.00,12800.00,-983300000000.00,-1617700000000.00
WT420X288,288.00,36800.00,-985000000000.00,-1620500000000.00
WT420X263.5,264.00,33600.00,-986700000000.00,-1623300000000.00
WT420X236.5,237.00,30200.00,-988400000000.00,-1626100000000.00
WT420X216.5,216.00,27600.00,-990100000000.00,-1628900000000.00
WT420X196,196.00,25000.00,-991800000000.00,-1631700000000.00
WT420X179.5,180.00,23000.00,-993500000000.00,-1634500000000.00
WT420X164.5,164.00,21000.00,-995200000000.00,-1637300000000.00
WT420X149.5,150.00,19200.00,-996900000000.00,-1640100000000.00
WT420X125.5,125.00,15900.00,-998600000000.00,-1642900000000.00
WT420X113,113.00,14500.00,-1000300000000.00,-1645700000000.00
WT420X105,105.00,13400.00,-1002000000000.00,-1648500000000.00
WT420X96.5,96.50,12300.00,-1003700000000.00,-1651300000000.00
WT420X88,88.00,11200.00,-1005400000000.00,-1654100000000.00
WT380X291,291.00,37200.00,-1007100000000.00,-1656900000000.00
WT380X265.5,266.00,33900.00,-1008800000000.00,-1659700000000.00
WT380X242,242.00,31000.00,-1010500000000.00,-1662500000000.00
WT380X217,217.00,27700.00,-1012200000000.00,-1665300000000.00
WT380X194.5,194.00,24800.00,-1013900000000.00,-1668100000000.00
WT380X175,175.00,22400.00,-1015600000000.00,-1670900000000.00
WT380X157,157.00,20100.00,-1017300000000.00,-1673700000000.00
WT380X142,142.00,18100.00,-1019000000000.00,-1676500000000.00
WT380X128.5,128.00,16400.00,-1020700000000.00,-1679300000000.00
WT380X110,110.00,14100.00,-1022400000000.00,-1682100000000.00
WT380X98,98.00,12600.00,-1024100000000.00,-1684900000000.00
WT380X92.5,92.50,11700.00,-1025800000000.00,-1687700000000.00
WT380X86.5,86.50,11000.00,-1027500000000.00,-1690500000000.00
WT380X80.5,80.50,10300.00,-1029200000000.00,-1693300000000.00
WT380X73.5,73.50,9350.00,-1030900000000.00,-1696100000000.00
WT380X67,67.00,8520.00,-1032600000000.00,-1698900000000.00
WT345X401,401.00,51200.00,-1034300000000.00,-1701700000000.00
WT345X274,274.00,35000.00,-1036000000000.00,-1704500000000.00
WT345X250,250.00,31900.00,-1037700000000.00,-1707300000000.00
WT345X228.5,228.00,29200.00,-1039400000000.00,-1710100000000.00
WT345X209.5,210.00,26800.00,-1041100000000.00,-1712900000000.00
WT345X192,192.00,24600.00,-1042800000000.00,-1715700000000.00
WT345X175,175.00,22400.00,-1044500000000.00,-1718500000000.00
WT345X161.5,162.00,20600.00,-1046200000000.00,-1721300000000.00
WT345X144.5,145.00,18500.00,-1047900000000.00,-1724100000000.00
WT345X132.5,132.00,17000.00,-1049600000000.00,-1726900000000.00
WT345X120,120.00,15400.00,-1051300000000.00,-1729700000000.00
WT345X108.5,108.00,13900.00,-1053000000000.00,-1732500000000.00
WT345X96,96.00,12200.00,-1054700000000.00,-1735300000000.00
WT345X85,85.00,10800.00,-1056400000000.00,-1738100000000.00
WT345X76,76.00,9680.00,-1058100000000.00,-1740900000000.00
WT345X70,70.00,8900.00,-1059800000000.00,-1743700000000.00
WT345X62.5,62.50,8000.00,-1061500000000.00,-1746500000000.00
WT305X275.5,276.00,35200.00,-1063200000000.00,-1749300000000.00
WT305X249,249.00,31700.00,-1064900000000.00,-1752100000000.00
WT305X227.5,228.00,29000.00,-1066600000000.00,-1754900000000.00
WT305X207.5,208.00,26500.00,-1068300000000.00,-1757700000000.00
WT305X186,186.00,23700.00,-1070000000000.00,-1760500000000.00
WT305X170.5,170.00,21700.00,-1071700000000.00,-1763300000000.00
WT305X153.5,154.00,19500.00,-1073400000000.00,-1766100000000.00
WT305X142.5,142.00,18200.00,-1075100000000.00,-1768900000000.00
WT305X131,131.00,16600.00,-1076800000000.00,-1771700000000.00
WT305X120.5,120.00,15400.00,-1078500000000.00,-1774500000000.00
WT305X108.5,108.00,13900.00,-1080200000000.00,-1777300000000.00
WT305X97.5,97.50,12500.00,-1081900000000.00,-1780100000000.00
WT305X87,87.00,11100.00,-1083600000000.00,-1782900000000.00
WT305X77.5,77.50,9870.00,-1085300000000.00,-1785700000000.00
WT305X76.5,76.50,9740.00,-1087000000000.00,-1788500000000.00
WT305X70,70.00,8900.00,-1088700000000.00,-1791300000000.00
WT305X62.5,62.50,8000.00,-1090400000000.00,-1794100000000.00
WT305X56.5,56.50,7230.00,-1092100000000.00,-1796900000000.00
WT305X50.5,50.50,6450.00,-1093800000000.00,-1799700000000.00
WT305X46,46.00,5880.00,-1095500000000.00,-1802500000000.00
WT305X41,41.00,5230.00,-1097200000000.00,-1805300000000.00
WT265X150,150.00,19100.00,-1098900000000.00,-1808100000000.00
WT265X136,136.00,17300.00,-1100600000000.00,-1810900000000.00
WT265X124,124.00,15700.00,-1102300000000.00,-1813700000000.00
WT265X109.5,110.00,13900.00,-1104000000000.00,-1816500000000.00
WT265X98,98.00,12500.00,-1105700000000.00,-1819300000000.00
WT265X91,91.00,11500.00,-1107400000000.00,-1822100000000.00
WT265X82.5,82.50,10500.00,-1109100000000.00,-1824900000000.00
WT265X75,75.00,9610.00,-1110800000000.00,-1827700000000.00
WT265X69,69.00,8840.00,-1112500000000.00,-1830500000000.00
WT265X61.5,61.50,7870.00,-1114200000000.00,-1833300000000.00
WT265X54.5,54.50,6900.00,-1115900000000.00,-1836100000000.00
WT265X50.5,50.50,6450.00,-1117600000000.00,-1838900000000.00
WT265X46,46.00,5890.00,-1119300000000.00,-1841700000000.00
WT265X41,41.00,5230.00,-1121000000000.00,-1844500000000.00
WT265X36,36.00,4560.00,-1122700000000.00,-1847300000000.00
WT265X42.5,42.50,5400.00,-1124400000000.00,-1850100000000.00
WT265X37,37.00,4750.00,-1126100000000.00,-1852900000000.00
WT265X33,33.00,4190.00,-1127800000000.00,-1855700000000.00
WT230X232,232.00,29500.00,-1129500000000.00,-1858500000000.00
WT230X210.5,210.00,26900.00,-1131200000000.00,-1861300000000.00
WT230X192,192.00,24500.00,-1132900000000.00,-1864100000000.00
WT230X174.5,174.00,22100.00,-1134600000000.00,-1866900000000.00
WT230X157.5,158.00,20100.00,-1136300000000.00,-1869700000000.00
WT230X143,143.00,18100.00,-1138000000000.00,-1872500000000.00
WT230X130,130.00,16600.00,-1139700000000.00,-1875300000000.00
WT230X117.5,118.00,15000.00,-1141400000000.00,-1878100000000.00
WT230X106.5,106.00,13500.00,-1143100000000.00,-1880900000000.00
WT230X96.5,96.50,12400.00,-1144800000000.00,-1883700000000.00
WT230X88.5,88.50,11400.00,-1146500000000.00,-1886500000000.00
WT230X79,79.00,10100.00,-1148200000000.00,-1889300000000.00
WT230X72,72.00,9160.00,-1149900000000.00,-1892100000000.00
WT230X64,64.00,8190.00,-1151600000000.00,-1894900000000.00
WT230X56.5,56.50,7160.00,-1153300000000.00,-1897700000000.00
WT230X53,53.00,6710.00,-1155000000000.00,-1900500000000.00
WT230X48.5,48.50,6160.00,-1156700000000.00,-1903300000000.00
WT230X44.5,44.50,5690.00,-1158400000000.00,-1906100000000.00
WT230X41,41.00,5230.00,-1160100000000.00,-1908900000000.00
WT230X37,37.00,4740.00,-1161800000000.00,-1911700000000.00
WT230X34,34.00,4370.00,-1163500000000.00,-1914500000000.00
WT230X30,30.00,3790.00,-1165200000000.00,-1917300000000.00
WT230X26,26.00,3320.00,-1166900000000.00,-1920100000000.00
WT205X74.5,74.50,9480.00,-1168600000000.00,-1922900000000.00
WT205X66,66.00,8450.00,-1170300000000.00,-1925700000000.00
WT205X57,57.00,7290.00,-1172000000000.00,-1928500000000.00
WT205X50,50.00,6330.00,-1173700000000.00,-1931300000000.00
WT205X42.5,42.50,5410.00,-1175400000000.00,-1934100000000.00
WT205X37.5,37.50,4750.00,-1177100000000.00,-1936900000000.00
WT205X33.5,33.50,4280.00,-1178800000000.00,-1939700000000.00
WT205X30,30.00,3800.00,-1180500000000.00,-1942500000000.00
WT205X26.5,26.50,3410.00,-1182200000000.00,-1945300000000.00
WT205X23.05,23.10,2940.00,-1183900000000.00,-1948100000000.00
WT205X19.4,19.40,2480.00,-1185600000000.00,-1950900000000.00
WT180X543,543.00,69000.00,-1187300000000.00,-1953700000000.00
WT180X495,495.00,63100.00,-1189000000000.00,-1956500000000.00
WT180X450,450.00,57400.00,-1190700000000.00,-1959300000000.00
WT180X409,409.00,52200.00,-1192400000000.00,-1962100000000.00
WT180X372,372.00,47400.00,-1194100000000.00,-1964900000000.00
WT180X338.5,338.00,43200.00,-1195800000000.00,-1967700000000.00
WT180X317,317.00,40500.00,-1197500000000.00,-1970500000000.00
WT180X296,296.00,37700.00,-1199200000000.00,-1973300000000.00
WT180X275.5,276.00,35100.00,-1200900000000.00,-1976100000000.00
WT180X254.5,546.00,32500.00,-1202600000000.00,-1978900000000.00
WT180X231.5,232.00,29500.00,-1204300000000.00,-1981700000000.00
WT180X210.5,210.00,26800.00,-1206000000000.00,-1984500000000.00
WT180X191,191.00,24400.00,-1207700000000.00,-1987300000000.00
WT180X173.5,174.00,22100.00,-1209400000000.00,-1990100000000.00
WT180X157,157.00,20000.00,-1211100000000.00,-1992900000000.00
WT180X143.5,144.00,18300.00,-1212800000000.00,-1995700000000.00
WT180X131,131.00,16700.00,-1214500000000.00,-1998500000000.00
WT180X118.5,118.00,15100.00,-1216200000000.00,-2001300000000.00
WT180X108,108.00,13700.00,-1217900000000.00,-2004100000000.00
WT180X98,98.00,12500.00,-1219600000000.00,-2006900000000.00
WT180X89.5,89.50,11400.00,-1221300000000.00,-2009700000000.00
WT180X81,81.00,10300.00,-1223000000000.00,-2012500000000.00
WT180X73.5,73.50,9420.00,-1224700000000.00,-2015300000000.00
WT180X67,67.00,8520.00,-1226400000000.00,-2018100000000.00
WT180X61,61.00,7740.00,-1228100000000.00,-2020900000000.00
WT180X55,55.00,7030.00,-1229800000000.00,-2023700000000.00
WT180X50.5,50.50,6450.00,-1231500000000.00,-2026500000000.00
WT180X45.5,45.50,5780.00,-1233200000000.00,-2029300000000.00
WT180X39.5,39.50,5030.00,-1234900000000.00,-2032100000000.00
WT180X36,36.00,4560.00,-1236600000000.00,-2034900000000.00
WT180X32,32.00,4070.00,-1238300000000.00,-2037700000000.00
WT180X28.9,28.90,3600.00,-1240000000000.00,-2040500000000.00
WT180X25.5,25.50,3230.00,-1241700000000.00,-2043300000000.00
WT180X22,22.00,2850.00,-1243400000000.00,-2046100000000.00
WT180X19.5,19.50,2480.00,-1245100000000.00,-2048900000000.00
WT180X16.45,16.50,2100.00,-1246800000000.00,-2051700000000.00
WT155X250,250.00,31900.00,-1248500000000.00,-2054500000000.00
WT155X227,227.00,28800.00,-1250200000000.00,-2057300000000.00
WT155X207.5,208.00,26500.00,-1251900000000.00,-2060100000000.00
WT155X187.5,188.00,23900.00,-1253600000000.00,-2062900000000.00
WT155X171,171.00,21800.00,-1255300000000.00,-2065700000000.00
WT155X156.5,156.00,19900.00,-1257000000000.00,-2068500000000.00
WT155X141.5,142.00,18100.00,-1258700000000.00,-2071300000000.00
WT155X126.5,126.00,16100.00,-1260400000000.00,-2074100000000.00
WT155X113,113.00,14500.00,-1262100000000.00,-2076900000000.00
WT155X101,101.00,12900.00,-1263800000000.00,-2079700000000.00
WT155X89.5,89.50,11400.00,-1265500000000.00,-2082500000000.00
WT155X79,79.00,10100.00,-1267200000000.00,-2085300000000.00
WT155X71.5,71.50,9100.00,-1268900000000.00,-2088100000000.00
WT155X64.5,64.50,8260.00,-1270600000000.00,-2090900000000.00
WT155X58.5,58.50,7480.00,-1272300000000.00,-2093700000000.00
WT155X53.5,53.50,6840.00,-1274000000000.00,-2096500000000.00
WT155X48.5,48.50,6150.00,-1275700000000.00,-2099300000000.00
WT155X43,43.00,5500.00,-1277400000000.00,-2102100000000.00
WT155X39.5,39.50,5020.00,-1279100000000.00,-2104900000000.00
WT155X37,37.00,4710.00,-1280800000000.00,-2107700000000.00
WT155X33.5,33.50,4230.00,-1282500000000.00,-2110500000000.00
WT155X30,30.00,3770.00,-1284200000000.00,-2113300000000.00
WT155X26,26.00,3340.00,-1285900000000.00,-2116100000000.00
WT155X22.25,22.30,2840.00,-1287600000000.00,-2118900000000.00
WT155X19.35,19.40,2460.00,-1289300000000.00,-2121700000000.00
WT155X16.35,16.40,2090.00,-1291000000000.00,-2124500000000.00
WT155X14.15,14.20,1800.00,-1292700000000.00,-2127300000000.00
WT155X11.9,11.90,1520.00,-1294400000000.00,-2130100000000.00
WT155X10.5,10.50,1340.00,-1296100000000.00,-2132900000000.00
WT125X83.5,83.50,10600.00,-1297800000000.00,-2135700000000.00
WT125X74.5,74.50,9480.00,-1299500000000.00,-2138500000000.00
WT125X65.5,65.50,8390.00,-1301200000000.00,-2141300000000.00
WT125X57.5,57.50,7290.00,-1302900000000.00,-2144100000000.00
WT125X50.5,50.50,6450.00,-1304600000000.00,-2146900000000.00
WT125X44.5,44.50,5700.00,-1306300000000.00,-2149700000000.00
WT125X40,40.00,5100.00,-1308000000000.00,-2152500000000.00
WT125X36.5,36.50,4650.00,-1309700000000.00,-2155300000000.00
WT125X33.5,33.50,4280.00,-1311400000000.00,-2158100000000.00
WT125X29,29.00,3700.00,-1313100000000.00,-2160900000000.00
WT125X24.55,24.60,3130.00,-1314800000000.00,-2163700000000.00
WT125X22.4,22.40,2850.00,-1316500000000.00,-2166500000000.00
WT125X19.25,19.30,2460.00,-1318200000000.00,-2169300000000.00
WT125X16.35,16.40,2090.00,-1319900000000.00,-2172100000000.00
WT125X14.2,14.20,1810.00,-1321600000000.00,-2174900000000.00
WT125X12.65,12.70,1610.00,-1323300000000.00,-2177700000000.00
WT125X11.15,11.20,1430.00,-1325000000000.00,-2180500000000.00
WT125X8.95,8.95,1140.00,-1326700000000.00,-2183300000000.00
WT100X50,50.00,6350.00,-1328400000000.00,-2186100000000.00
WT100X43,43.00,5510.00,-1330100000000.00,-2188900000000.00
WT100X35.5,35.50,4550.00,-1331800000000.00,-2191700000000.00
WT100X29.5,29.50,3790.00,-1333500000000.00,-2194500000000.00
WT100X26,26.00,3320.00,-1335200000000.00,-2197300000000.00
WT100X23.05,23.10,2940.00,-1336900000000.00,-2200100000000.00
WT100X20.85,20.90,2660.00,-1338600000000.00,-2202900000000.00
WT100X17.95,18.00,2280.00,-1340300000000.00,-2205700000000.00
WT100X15.65,15.70,1990.00,-1342000000000.00,-2208500000000.00
WT100X13.3,13.30,1700.00,-1343700000000.00,-2211300000000.00
WT100X11.25,11.30,1430.00,-1345400000000.00,-2214100000000.00
WT100X9.65,9.65,1240.00,-1347100000000.00,-2216900000000.00
WT100X7.5,7.50,955.00,-1348800000000.00,-2219700000000.00
WT75X18.55,18.60,2370.00,-1350500000000.00,-2222500000000.00
WT75X14.9,14.90,1900.00,-1352200000000.00,-2225300000000.00
WT75X11.25,11.30,1430.00,-1353900000000.00,-2228100000000.00
WT75X12,12.00,1530.00,-1355600000000.00,-2230900000000.00
WT75X9,9.00,1150.00,-1357300000000.00,-2233700000000.00
WT75X6.75,6.75,865.00,-1359000000000.00,-2236500000000.00
WT75X6.5,6.50,813.00,-1360700000000.00,-2239300000000.00
WT65X14.05,14.10,1790.00,-1362400000000.00,-2242100000000.00
WT65X11.9,11.90,1520.00,-1364100000000.00,-2244900000000.00
WT50X9.65,9.65,1230.00,-1365800000000.00,-2247700000000.00
MT159X9.70,9.70,1170.00,-1367500000000.00,-2250500000000.00
MT159X8.65,8.65,1100.00,-1369200000000.00,-2253300000000.00
MT155X8.8,8.80,1120.00,-1370900000000.00,-2256100000000.00
MT155X8.05,8.05,1030.00,-1372600000000.00,-2258900000000.00
MT155X7.45,7.45,955.00,-1374300000000.00,-2261700000000.00
MT125X6.7,6.70,858.00,-1376000000000.00,-2264500000000.00
MT125X5.95,5.95,768.00,-1377700000000.00,-2267300000000.00
MT125X5.6,5.60,716.00,-1379400000000.00,-2270100000000.00
MT100X4.85,4.85,619.00,-1381100000000.00,-2272900000000.00
MT100X4.6,4.60,588.00,-1382800000000.00,-2275700000000.00
MT75X3.3,3.30,417.00,-1384500000000.00,-2278500000000.00
MT75X2.75,2.75,352.00,-1386200000000.00,-2281300000000.00
MT65X14.05,14.10,1790.00,-1387900000000.00,-2284100000000.00
MT50X4.45,4.45,565.00,-1389600000000.00,-2286900000000.00
ST305X90,90.00,11500.00,-1391300000000.00,-2289700000000.00
ST305X79,79.00,10100.00,-1393000000000.00,-2292500000000.00
ST305X74.5,74.50,9480.00,-1394700000000.00,-2295300000000.00
ST305X67,67.00,8520.00,-1396400000000.00,-2298100000000.00
ST305X59.5,59.50,7550.00,-1398100000000.00,-2300900000000.00
ST255X71.5,71.50,9100.00,-1399800000000.00,-2303700000000.00
ST255X64,64.00,8190.00,-1401500000000.00,-2306500000000.00
ST255X56,56.00,7100.00,-1403200000000.00,-2309300000000.00
ST255X49.1,49.10,6260.00,-1404900000000.00,-2312100000000.00
ST230X52,52.00,6650.00,-1406600000000.00,-2314900000000.00
ST230X40.7,40.70,5170.00,-1408300000000.00,-2317700000000.00
ST190X37,37.00,4740.00,-1410000000000.00,-2320500000000.00
ST190X32,32.00,4060.00,-1411700000000.00,-2323300000000.00
